"filename", "language", "C++", "JSON", "Dart", "HTML", "YAML", "CMake", "Markdown", "Swift", "XML", "Groovy", "Properties", "Java", "comment", "blank", "total"
"g:\2.Programming\BITS Project\quick_shift\quick_shift\test\widget_test.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"g:\2.Programming\BITS Project\quick_shift\quick_shift\web\index.html", "HTML", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 16, 6, 59
"g:\2.Programming\BITS Project\quick_shift\quick_shift\web\manifest.json", "JSON", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"g:\2.Programming\BITS Project\quick_shift\quick_shift\windows\flutter\generated_plugin_registrant.cc", "C++", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 15
"g:\2.Programming\BITS Project\quick_shift\quick_shift\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"g:\2.Programming\BITS Project\quick_shift\quick_shift\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 6, 25
"g:\2.Programming\BITS Project\quick_shift\quick_shift\windows\runner\flutter_window.cpp", "C++", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 62
"g:\2.Programming\BITS Project\quick_shift\quick_shift\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"g:\2.Programming\BITS Project\quick_shift\quick_shift\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"g:\2.Programming\BITS Project\quick_shift\quick_shift\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"g:\2.Programming\BITS Project\quick_shift\quick_shift\windows\runner\utils.cpp", "C++", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 65
"g:\2.Programming\BITS Project\quick_shift\quick_shift\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"g:\2.Programming\BITS Project\quick_shift\quick_shift\windows\runner\win32_window.cpp", "C++", 183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 48, 246
"g:\2.Programming\BITS Project\quick_shift\quick_shift\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 22, 99
"Total", "-", 502, 316, 2517, 37, 37, 37, 13, 50, 471, 92, 8, 13, 377, 436, 4906
